common_name,tp,tn,fp,fn,recall,precision,accuracy,f_measure,pos_n
wheat,25,0,0,0,1,1,1,1,25
lettuce,20,0,0,5,0.8,1,0.8,0.888888888888889,20
carrot family,19,0,1,5,0.7916666666666666,0.95,0.76,0.8636363636363635,20
pea,15,0,2,8,0.6521739130434783,0.8823529411764706,0.6,0.75,17
rice,14,0,0,11,0.56,1,0.56,0.717948717948718,14
oat,12,1,0,12,0.5,1,0.52,0.6666666666666666,12
tomato,11,1,0,13,0.4583333333333333,1,0.48,0.6285714285714286,11
scallion,9,3,5,8,0.5294117647058824,0.6428571428571429,0.48,0.5806451612903226,14
grape,8,0,0,17,0.32,1,0.32,0.48484848484848486,8
black pepper,7,1,0,17,0.2916666666666667,1,0.32,0.4516129032258064,7
corn,7,1,0,17,0.2916666666666667,1,0.32,0.4516129032258064,7
"mustards, rapeseed",4,8,0,13,0.2352941176470588,1,0.48,0.380952380952381,4
strawberry,2,16,7,0,1,0.2222222222222222,0.72,0.3636363636363636,9
beans,2,13,4,6,0.25,0.3333333333333333,0.6,0.28571428571428575,6
soybean,4,1,0,20,0.16666666666666666,1,0.2,0.2857142857142857,4
citrus,4,0,0,21,0.16,1,0.16,0.2758620689655173,4
celery,2,11,6,6,0.25,0.25,0.52,0.25,8
cinnamon,3,1,0,21,0.125,1,0.16,0.2222222222222222,3
garlic,2,2,0,21,0.08695652173913043,1,0.16,0.16,2
peppers,2,2,0,21,0.08695652173913043,1,0.16,0.16,2
potato,1,13,4,7,0.125,0.2,0.56,0.15384615384615383,5
peach,1,7,1,16,0.0588235294117647,0.5,0.32,0.10526315789473684,2
apple,1,2,0,22,0.04347826086956521,1,0.12,0.08333333333333333,1
onion,1,1,0,23,0.04166666666666666,1,0.08,0.07999999999999999,1
coconut,0,24,1,0,NA,0,0.96,NA,1
millet,0,24,1,0,NA,0,0.96,NA,1
mint,0,24,1,0,NA,0,0.96,NA,1
papaya,0,24,1,0,NA,0,0.96,NA,1
pecan,0,24,1,0,NA,0,0.96,NA,1
psyllium,0,24,1,0,NA,0,0.96,NA,1
raspberry,0,24,1,0,NA,0,0.96,NA,1
sugar beet,0,24,1,0,NA,0,0.96,NA,1
sweet potato,0,24,1,0,NA,0,0.96,NA,1
walnut,0,24,1,0,NA,0,0.96,NA,1
spinach,0,23,2,0,NA,0,0.92,NA,2
"sunflower, jerusalem artichoke, sunchoke, dandelion",0,23,2,0,NA,0,0.92,NA,2
banana,0,22,3,0,NA,0,0.88,NA,3
herbs,0,22,3,0,NA,0,0.88,NA,3
tea,0,22,3,0,NA,0,0.88,NA,3
barley,0,20,5,0,NA,0,0.8,NA,5
chocolate,0,20,5,0,NA,0,0.8,NA,5
coffee,0,24,0,1,0,NA,0.96,NA,0
summer squash,0,23,0,2,0,NA,0.92,NA,0
peanut,0,22,0,3,0,NA,0.88,NA,0
pineapple,0,9,0,16,0,NA,0.36,NA,0
olive,0,8,0,17,0,NA,0.32,NA,0
cucumber,0,1,0,24,0,NA,0.04,NA,0
sugarcane,0,0,0,25,0,NA,0,NA,0
vanilla,0,0,0,25,0,NA,0,NA,0
