name,measure,rarefied,value
CHOMP-1,Richness,Raw,16
CHOMP-1,Shannon,Raw,0.6805185606039785
CHOMP-1,Faith PD,Raw,3.9679935218399804
CHOMP-1,Richness,Rarefied,12.876498656598972
CHOMP-1,Shannon,Rarefied,0.6779347219390804
CHOMP-1,Faith PD,Rarefied,3.3302536056338967
CHOMP-2,Richness,Raw,12
CHOMP-2,Shannon,Raw,0.5318059173909601
CHOMP-2,Faith PD,Raw,2.887410170132639
CHOMP-2,Richness,Rarefied,8.72260599592424
CHOMP-2,Shannon,Rarefied,0.55692323732137
CHOMP-2,Faith PD,Rarefied,2.582112847856939
CHOMP-3,Richness,Raw,19
CHOMP-3,Shannon,Raw,0.6874380818724288
CHOMP-3,Faith PD,Raw,4.830944547313986
CHOMP-3,Richness,Rarefied,16.05688571979836
CHOMP-3,Shannon,Rarefied,0.7168422675051801
CHOMP-3,Faith PD,Rarefied,3.938260570950298
CHOMP-4,Richness,Raw,15
CHOMP-4,Shannon,Raw,1.2426451764564221
CHOMP-4,Faith PD,Raw,3.758050026942316
CHOMP-4,Richness,Rarefied,9.20410352727323
CHOMP-4,Shannon,Rarefied,1.2486717966646523
CHOMP-4,Faith PD,Rarefied,1.8276019175602989
CHOMP-5,Richness,Raw,19
CHOMP-5,Shannon,Raw,2.0895478241970395
CHOMP-5,Faith PD,Raw,4.8566062549592335
CHOMP-5,Richness,Rarefied,17.548785624114192
CHOMP-5,Shannon,Rarefied,2.0696796450560115
CHOMP-5,Faith PD,Rarefied,4.387761958401284
CHOMP-6,Richness,Raw,26
CHOMP-6,Shannon,Raw,2.270392127112611
CHOMP-6,Faith PD,Raw,5.169994185006729
CHOMP-6,Richness,Rarefied,23.966421967998066
CHOMP-6,Shannon,Rarefied,2.249586770297119
CHOMP-6,Faith PD,Rarefied,4.648176322492537
CHOMP-7,Richness,Raw,18
CHOMP-7,Shannon,Raw,1.4088318013324141
CHOMP-7,Faith PD,Raw,3.763995892694634
CHOMP-7,Richness,Rarefied,12.434374594489967
